id,word,part_of_speech,korean_meaning,korean_pronunciation,example_sentence,example_translation,category,difficulty,tags,starred
1,have,verb,가지다; ~한 상태이다,해브,I have an important meeting today.,나는 오늘 중요한 회의가 있다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
2,say,verb,말하다,세이,Could you say that again?,그 말을 다시 해 줄 수 있나요?,conversation,A1,conversation|essential|curated-example|source:manual-core,false
3,go,verb,가다,고우,I usually go home after the meeting.,나는 보통 회의 후에 집에 간다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
4,get,verb,얻다; 받다; ~하게 되다,겟,I need to get some sleep.,나는 잠을 좀 자야 한다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
5,can,verb,~할 수 있다; 캔,캔,I can explain the idea in English.,나는 그 아이디어를 영어로 설명할 수 있다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
6,know,verb,알다,노우,I know how the algorithm works.,나는 그 알고리즘이 어떻게 작동하는지 안다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
7,all,determiner,모든; 전부의,올,We spent all day at the beach yesterday.,우리는 어제 하루 종일 해변에서 보냈어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
8,about,preposition,~에 관하여; 약,어바웃,We talked about our weekend plans over coffee.,우리는 커피를 마시며 주말 계획에 대해 이야기했어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
9,will,verb,~할 것이다,윌,I will call you when I get home.,집에 도착하면 전화할게.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
10,would,verb,~할 것이다; ~하곤 했다,우드,I would love to join you for dinner.,저녁 같이 먹으면 정말 좋겠어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
11,make,verb,만들다; ~하게 하다,메이크,We need to make a clear plan.,우리는 명확한 계획을 세워야 한다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
12,just,adverb,그냥; 방금; 단지,저스트,I just got back from the gym.,나 방금 헬스장에서 돌아왔어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
13,up,adverb,위로; 완전히,업,She stood up and walked to the window.,그녀는 일어나서 창가로 걸어갔어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
14,think,verb,생각하다,씽크,I think this result is promising.,나는 이 결과가 유망하다고 생각한다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
15,time,noun,시간; 때,타임,Do you have time for lunch tomorrow?,내일 점심 먹을 시간 있어?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
16,there,adverb,거기에; 그곳에,데어,I'll meet you there at six.,6시에 거기서 만나자.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
17,see,verb,보다; 알다,씨,I can see the difference now.,이제 그 차이를 알 수 있다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
